Group ID,Observer ID,Question,Response ID,Response,Code
4,2,1.1: How often have you all used IETMs in your experience as Sailors? ,531,"At least 1 time per day, but depends",Frequency 
4,2,1.1: How often have you all used IETMs in your experience as Sailors? ,532,"During watch, or maintenance",Purpose 
5,1,1.1: How often have you all used IETMs in your experience as Sailors? ,594,"Sailor responds that they use it pretty often, for looking up instructions and drawings. Further clarifies they use IETMs daily.",Frequency 
5,1,1.1: How often have you all used IETMs in your experience as Sailors? ,595,"Sailor says they use IETMs every time they stand watch, daily.",Frequency 
5,2,1.1: How often have you all used IETMs in your experience as Sailors? ,642,"Often, looking up instructions, drawings",Purpose; frequency
5,2,1.1: How often have you all used IETMs in your experience as Sailors? ,643,SPM – daily,Frequency; SPM/SEPM
5,2,1.1: How often have you all used IETMs in your experience as Sailors? ,644,Daily,Frequency 
5,2,1.1: How often have you all used IETMs in your experience as Sailors? ,645,During watch,Purpose 
6,1,1.1: How often have you all used IETMs in your experience as Sailors? ,711,Several times a day (echoed by a few people),Frequency 
6,1,1.1: How often have you all used IETMs in your experience as Sailors? ,712,"In qualifications, also several times a day",Frequency 
6,1,1.1: How often have you all used IETMs in your experience as Sailors? ,713,“Any time I have access to a computer” (several Sailors laugh),Frequency 
6,1,1.1: How often have you all used IETMs in your experience as Sailors? ,716,Once a day for non-engineering people,Frequency 
6,2,1.1: How often have you all used IETMs in your experience as Sailors? ,818,Another sailor says I use IETM at least 1x per day.,Frequency 
7,1,1.1: How often have you all used IETMs in your experience as Sailors? ,906,Multiple times a day (a few nod),Frequency 
7,1,1.1: How often have you all used IETMs in your experience as Sailors? ,907,No other answers,Frequency 
7,2,1.1: How often have you all used IETMs in your experience as Sailors? ,998,Multiple times a day,Frequency 
8,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1085,Several times a day,Frequency 
8,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1086,Every single day,Frequency 
8,2,1.1: How often have you all used IETMs in your experience as Sailors? ,1170,Every day. Every procedure,Frequency; purpose
9,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1248,“Almost every single day”,Frequency 
9,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1249,“I was using one less than five minutes ago”,Frequency 
9,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1250,"All the time, every day",Frequency 
9,2,1.1: How often have you all used IETMs in your experience as Sailors? ,1349,Every day. Continuously.,Frequency 
10,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1439,Daily (chorus of voices),Frequency 
10,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1440,Multiple times a day (nods of agreement),Frequency 
10,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1441,IETM use is very common for this department,Frequency 
10,2,1.1: How often have you all used IETMs in your experience as Sailors? ,1555,"Daily, multiple times a day, every day.  Common for the department.",Frequency 
11,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1664,Daily (chorus),Frequency 
11,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1665,No one uses it less than daily,Frequency 
11,1,1.1: How often have you all used IETMs in your experience as Sailors? ,1666,IETM is up “most of the day”,Frequency 
11,2,1.1: How often have you all used IETMs in your experience as Sailors? ,1758,"Daily, multiple times per day, most of the day",Frequency 
1,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",3,"One Sailor responds they are usually “using it as a procedure” (RE), which is “our standard method.” ",Purpose 
1,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",4,One Sailor responds they are “using it for research.” ,Purpose 
1,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",5,Another Sailor is “using it as reference material.” ,Purpose 
1,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",6,Another Sailor uses the IETM for “generating paperwork” (printing out tables). ,Purpose 
1,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",97,Using procedures (check boxes) (job code RE) ,Checkboxes; purpose
1,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",98,"Research, reference material ",Purpose 
1,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",99,Generating paperwork ,Purpose 
1,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",100,Print out tables ,Purpose; recording tables; hardcopy
2,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",201,One Sailor uses IETM for looking up procedures and drawings.  ,Purpose 
2,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",202,"One Sailor uses it to find tables, drawings, for LOK (questions). ",Purpose 
2,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",203,One Sailor uses it for paper generation mostly. ,Purpose 
2,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",204,One Sailor says they open the IETM and use it for about 10-20 minutes at most. Another opens and leaves it open all day. The last opens a few tech manuals for a few hours each time. ,Frequency 
2,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",205,"One Sailor says they use the IETM for researching parts, finding TMs and references. They also use it for checking drawings.  ",Purpose 
2,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",206,One Sailor uses it for operating procedures and maintenance (SPM and RPM). ,Purpose; RPM; SPM/SEPM 
2,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",269,Looking up procedures and drawings ,Purpose 
2,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",270,Making answer keys for level of knowledge (LoK) interviews  ,Purpose 
2,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",271,Paperwork generation ,Purpose
2,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",272,Open and use for 10-20 minutes at a time ,Frequency; Time
2,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",273,"Open a few TMs, keep them open for an hour or two ",Frequency; Time
2,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",274,"Researching, finding out what’s wrong with a system ",Purpose 
2,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",275,"Operating procedures, maintenance procedures ",Purpose 
2,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",276,Checking tags ,Purpose 
3,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",328,Sailor uses IETM for “going step-by-step through procedures” and uses it to perform specific actions. Also uses it for quick reference most of the time. Has it open for 30 minutes each time approximately. ,Purpose; Time
3,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",388,Procedures for operating,Purpose
3,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",389,Evolution is like starting up turbine engine,Purpose 
3,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",390,Quick reference (30 minutes),Purpose; Time
3,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",391,Studying,Purpose
4,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",479,One Sailor says they use the IETM for procedures and troubleshooting.,Purpose 
4,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",480,One Sailor says they use it for studying (RPM studies).,Purpose 
4,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",481,"One Sailor says they look at the IETM when they’re bored, and for maintenance.",Purpose 
4,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",533,Procedures/troubleshooting,Purpose 
4,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",534,Studying/boredom,Purpose 
4,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",535,Drawings,Purpose 
4,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",536,Maintenance,Purpose 
5,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",596,"Sailor uses IETM for reviewing tag-outs, looking up procedures, doing maintenance.",Purpose 
5,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",597,"Sailor says they use it for evolutions, studying, doing maintenance, for random plant problems (solved via drawings).",Purpose 
5,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",646,Reviewing tagouts,Purpose 
5,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",647,Procedures for operations,Purpose 
5,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",648,Evolutions,Purpose 
5,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",649,Studying,Purpose 
5,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",650,"During work, maintenance, references",Purpose 
5,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",651,Looking at drawings,Purpose; illustration
6,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",717,“for finding information mostly”,Purpose 
6,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",718,“Having everything in the palm of your hand is so much easier”,Useful 
6,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",719,Difficult to go back to the books once you’re used to using the IETMs,Useful 
6,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",720,Proving CT questions (easier because you’re already on the computer),Purpose 
6,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",721,5 minutes or less for usage (looking for specific piece of info),Time 
6,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",722,"Usage length depends on what you’re accessing it for. For info, quick – for procedures, longer. Also depends on how familiar you are with the material.",Time 
6,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",723,One Sailor can be on there for 2-3 hours to try to fully understand procedures (casualties),Time 
6,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",820,"Looking for information for jobs, parts, and work that needs to be done on the boat.",Purpose 
6,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",821,"It’s a lot easier to do work for checkout using IETM. Search is limited in hardcopy. IETM can have a lot of scrolling, but there are links to the headings.",Useful; search; hardcopy
6,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",823,I served on Virginia class so it’s hard to go back to books for me.  I will pull up numeric graphs to check against my calcs.,Useful; hardcopy
6,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",824,Common questions are easier to find in the IETM.,Useful 
6,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",825,"I usually know what I am looking for, so the IETM is easier.",Useful 
6,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",826,"If you are doing something specific using a commonly used manual, it only takes like 20 or 30 minutes to find. It depends how familiar you are. Some sailors know the RPM much more than I do.",Time; RPM
7,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",908,"Biggest use is RPM, in and out of that for drawings and trainings",RPM; Purpose; Illustration
7,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",909,"Maintenance, nuclear maintenance manuals",Purpose 
7,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",910,S9G use IETM daily,Purpose 
7,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",911,"On the deckplate we use hardcopy, but when we get the LAN back down we’ll change to tablets",Device; hardcopy
7,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",912,"Most people spend their time on the barge, so they use it a lot here",Frequency 
7,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",913," “looking through procedures for preparation”; on the deckplate you need the book, so you can prep w/ the IETM and use it as a guide",Purpose; hardcopy
7,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",914,Finding part numbers is much easier in IETM,Useful 
7,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",916,“I personally just prefer reading out of the book” ,Hardcopy 
7,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",999,"RPM is biggest use for me, either using drawings for training on the deck plate, there the Hardcopy, up here the IETM, also for maintenance on the nuclear manual.",Purpose; RPM; Illustration
7,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1002,"As RC Div I look at the rough procedures for preparation for things, on the deck plate we are diving into 4 or 5 books.  We need help making a treasure map of sorts using the IETM, as an RPPO part number finding in the IETM is helpful.  Finding a few part numbers at the same time, using the IETM CTRL+F.",Purpose; hardcopy; search
7,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1003,"I use the hardcopy of chemistry more often, but I also use the IETM. If I don’t have a manual copy I would use IETM.",Hardcopy; specific manual
7,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1004,I also prefer to read out of the book because it is easier. [Master Chief agrees].,Hardcopy 
8,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1087,"Operations, maintenance",Purpose 
8,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1088,Verifying data,Purpose 
8,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1089,Verification of items/steps,Purpose 
8,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1090,Learning,Purpose 
8,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1091,Length of usage depends on what task,Time 
8,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1092,“I pretty much have an IETM open at all times if I’m not busy”,Time 
8,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1093,"If an IETM is open for multiple days, it’s because I forgot to close a tab (laugh). Another Sailor says they do leave them open for days, for studying.",Time; Purpose
8,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1171,"Operations, Maintenance, verification of steps, learning.",Purpose 
9,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1251,"Performing procedures, generally the biggest item",Purpose 
9,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1252,General study,Purpose 
9,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1253,"Study, lookups, “trying to find info for maintenance items”",Purpose 
9,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1254,"“I use schematics a lot”, research for maintenance",Purpose; Illustration
9,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1350,"Performing procedures, general study, lookups, find proof for maintenance items, or tags.",Purpose 
9,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1351,"I use schematics a lot, being with the navigator. I do research",Purpose; Illustration
10,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1442,"Study, maintenance",Purpose 
10,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1443,“All plant operations”,Purpose 
10,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1444,90% of workflow requires an IETM here,Purpose 
10,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1445,Troubleshooting,Purpose 
10,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1556,Studying mainly.,Purpose 
10,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1557,All plant operations.,Purpose 
10,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1558,90% of workload requires reference to an IETM.,Frequency 
10,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1559,Troubleshooting,Purpose 
11,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1667,Researching and for procedures,Purpose 
11,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1668,"Studying (many students do not have access to all the physical books they need, so IETM is used instead)",Purpose 
11,1,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1669,On watch for procedures,Purpose 
11,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1759,"Researching a procedure, or a task I get assigned to, and I have to research it.  Juniors don’t always have access to the physical publications.  That’s an issue.",Purpose 
11,2,"1.2: When using an IETM, what are/were you usually doing? Describe common reasons why you would use an IETM, what types of tasks you would complete, how long you would use it for, etc. ",1760,On watch going through the procedures.,Purpose 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",13,Most Sailors say Ctrl + F is the most useful (especially after generating PDF copy). ,Search; useful; pdf
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",14,"One Sailor says the table of contents layout is “very nice”, but figures are horrible. ",TOC; illustration; complaint; useful
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",15,One Sailor says the figure “interface does not work well.” ,Image viewer; Complaint 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",16,"One Sailor says “I do like that there’s checkboxes, but you can’t Circle X” in them, so they are not as useful for procedure completion. ",Checkboxes; circle x
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",17,"One Sailor says repeating steps doesn’t work well w/ checkboxes; they propose a 2nd box to check instead, as well as clearing multiple steps at once. ",Checkboxes 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",18,One Sailor suggests having every box have the option to generate another checkbox if needed. ,Checkboxes 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",19,One Sailor suggests “a N/A option” (with agreeing nods from others). ,N/A option 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",20,"One Sailor complains that reference pages aren’t always hyperlinked, “it’s inconsistent” – gives the water chem as one example. ",References 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",21,One Sailor comments that they “love the red text” (books don’t have it). ,Useful 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",22,"One Sailor notes the scroll is very glitchy and slow in figure viewer, got to click “trust this host” to resolve. ",Image viewer 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",23,One Sailor likes that POD copy goes directly to section when opened. ,Pdf 
1,1,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",24,"One Sailor says, “It’s nice not carrying heavy books around.” ",Useful 
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",105,Ctrl + F ,Search 
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",106,TOC better than lots of manual; laid out well ,TOC 
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",107,Drawings are bad/hard to pull up (Display is ok but laggy),Illustration; complaint
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",108,"Check boxes are good, but you can’t circle X ",Checkboxes; circle x
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",109,Step repeating is inconvenient because you have to uncheck the boxes ,Checkboxes; complaint
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",110,An option for two check boxes would be good [prompted by Mr. Glenn] ,Checkboxes 
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",111,One sailor suggests a N/A option for steps you don’t have to do  ,N/A option; wishlist item
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",112,Reference page in RPM is not hyperlinked; other TMs are hyperlinked. It would be helpful if they all had hyperlinks (another person concurred) ,References 
1,2,"2.1: What do you think the IETM does well? What functionalities do you find useful in it, compared to paper manuals? ",113,Red text “Rickover said it text” is good to help provide context [unsure whether this was a joke or what it refers to] ,Useful 
