Participant ID,Group ID,Prompt,Response
24,5,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
25,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",1
26,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
27,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
28,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
29,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
30,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
31,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
32,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
33,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",7
34,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
35,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
36,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
37,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
38,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
39,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",1
40,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
41,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",9
42,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
44,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",7
45,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
46,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
47,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
48,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
49,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",9
50,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",6
51,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
52,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",7
53,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
55,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",5
56,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
57,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
58,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",9
59,TYCOM,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",6
60,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",9
61,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",9
62,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
63,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",7
64,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",7
65,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",7
66,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
67,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
68,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
69,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
70,11,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",8
71,11,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",6
72,11,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",9
73,11,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",10
74,NAVAIR,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): Submitting Manual Change Requests (MCRs) directly from the IETM.",7
15,2,Additional comments on Submitting Manual Change Requests (MCRs) directly from the IETM.,many don't submit MCRs without their CoC but it may raise awareness to the usefulness
23,5,Additional comments on Submitting Manual Change Requests (MCRs) directly from the IETM.,Approval 02 allowed access or voting method?
29,6,Additional comments on Submitting Manual Change Requests (MCRs) directly from the IETM.,so long as a review process can exist w/in the systems
30,6,Additional comments on Submitting Manual Change Requests (MCRs) directly from the IETM.,Yes please
48,8,Additional comments on Submitting Manual Change Requests (MCRs) directly from the IETM.,If you can save copy
58,9,Additional comments on Submitting Manual Change Requests (MCRs) directly from the IETM.,Easy form of feedback is always desired
67,10,Additional comments on Submitting Manual Change Requests (MCRs) directly from the IETM.,ideally submitted to TPL then sent off via TPL through IETMs
1,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",4
3,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",3
4,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",7
5,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
6,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",7
7,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",8
8,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",3
9,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",9
10,1,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",2
11,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",3
12,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
13,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
14,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
15,2,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",2
16,3,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",6
17,3,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
18,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",6
19,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",8
20,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
21,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
22,4,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
23,5,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",9
24,5,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
25,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
26,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",6
27,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
28,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",4
29,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",8
30,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
31,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
32,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
33,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",4
34,6,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
35,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
36,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
37,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
38,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",2
39,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",8
40,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
41,7,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",7
42,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",7
43,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",9
44,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",3
45,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",8
46,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
47,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",2
48,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",7
49,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",3
50,8,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",3
51,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
52,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
53,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",7
54,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
55,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",7
56,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",7
57,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
58,9,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",6
59,TYCOM,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
60,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",9
61,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
62,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
63,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",8
64,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
65,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",3
66,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
67,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",6
68,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",8
69,10,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",1
70,11,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
71,11,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",5
72,11,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",10
73,11,"Rate the following on a scale of 1-10 based on how useful the following potential feature for a new IETM sounds (1 being not useful at all, 10 being extremely useful): An Interactive User Guide (such as a ChatBot) that can answer questions / assist with locating information in the IETM.",9
